2022.04.18 02:43:52 Calculating: -12+
2022.04.18 02:43:52 Tried adding: =
2022.04.18 02:43:52 Calculating: -12
2022.04.18 02:43:52 Result: -12
2022.04.18 02:43:52 Tried adding: =
2022.04.18 02:43:52 Calculating: -12
2022.04.18 02:43:52 Result: -12
2022.04.18 02:43:53 Tried adding: =
2022.04.18 02:43:53 Calculating: -12
2022.04.18 02:43:53 Result: -12
2022.04.18 02:43:53 Tried adding: =
2022.04.18 02:43:53 Calculating: -12
2022.04.18 02:43:53 Result: -12
2022.04.18 02:43:55 Tried adding: =
2022.04.18 02:43:55 Calculating: -12
2022.04.18 02:43:55 Result: -12
2022.04.18 02:43:58 Tried adding: +
2022.04.18 02:43:59 Tried adding: =
2022.04.18 02:43:59 Calculating: -12
2022.04.18 02:43:59 Result: -12
2022.04.18 02:44:00 Tried adding: +
2022.04.18 02:44:01 Tried adding: -
2022.04.18 02:44:02 Tried adding: 1
2022.04.18 02:44:02 Tried adding: =
2022.04.18 02:44:02 Calculating: -12+-1
2022.04.18 02:44:02 Tried adding: =
2022.04.18 02:44:02 Calculating: -12+-1
2022.04.18 02:44:03 Tried adding: =
2022.04.18 02:44:03 Calculating: -12+-1
2022.04.18 02:44:03 Tried adding: =
2022.04.18 02:44:03 Calculating: -12+-1
2022.04.18 02:44:03 Tried adding: =
2022.04.18 02:44:03 Calculating: -12+-1
2022.04.18 02:44:04 Tried adding: =
2022.04.18 02:44:04 Calculating: -12+-1
2022.04.18 02:44:04 Tried adding: =
2022.04.18 02:44:04 Calculating: -12+-1
2022.04.18 02:44:04 Tried adding: =
2022.04.18 02:44:04 Calculating: -12+-1
2022.04.18 02:44:05 Tried adding: =
2022.04.18 02:44:05 Calculating: -12+-1
2022.04.18 02:44:06 Tried adding: +
2022.04.18 02:44:07 Tried adding: 6
2022.04.18 02:44:07 Tried adding: 5
2022.04.18 02:44:08 Tried adding: =
2022.04.18 02:44:08 Calculating: -12+-1+65
2022.04.18 02:44:08 Tried adding: =
2022.04.18 02:44:08 Calculating: -12+-1+65
2022.04.18 02:44:09 Tried adding: =
2022.04.18 02:44:09 Calculating: -12+-1+65
2022.04.18 02:44:09 Tried adding: =
2022.04.18 02:44:09 Calculating: -12+-1+65
2022.04.18 02:44:10 Tried adding: ⌫
2022.04.18 02:44:10 Tried adding: ⌫
2022.04.18 02:44:10 Tried adding: ⌫
2022.04.18 02:44:10 Tried adding: ⌫
2022.04.18 02:44:11 Tried adding: ⌫
2022.04.18 02:44:11 Tried adding: (
2022.04.18 02:44:14 Tried adding: -
2022.04.18 02:44:15 Tried adding: 1
2022.04.18 02:44:16 Tried adding: =
2022.04.18 02:44:16 Calculating: -12+(-1)
2022.04.18 02:44:16 Result: -13
2022.04.18 02:44:29 Tried adding: *
2022.04.18 02:44:30 Tried adding: (
2022.04.18 02:44:32 Tried adding: 4
2022.04.18 02:44:34 Tried adding: 5
2022.04.18 02:44:35 Tried adding: -
2022.04.18 02:44:36 Tried adding: (
2022.04.18 02:44:38 Tried adding: 5
2022.04.18 02:44:39 Tried adding: 6
2022.04.18 02:44:39 Tried adding: =
2022.04.18 02:44:39 Calculating: -13*(45-(56))
2022.04.18 02:44:39 Result: 143
2022.04.18 02:44:41 Tried adding: clr
2022.04.18 02:44:44 Tried adding: -
2022.04.18 02:44:44 Tried adding: 1
2022.04.18 02:44:45 Tried adding: +
2022.04.18 02:44:45 Tried adding: -
2022.04.18 02:44:45 Tried adding: 1
2022.04.18 02:44:46 Tried adding: =
2022.04.18 02:44:46 Calculating: -1+-1
2022.04.18 02:44:46 Tried adding: =
2022.04.18 02:44:46 Calculating: -1+-1
2022.04.18 02:44:46 Tried adding: =
2022.04.18 02:44:46 Calculating: -1+-1
2022.04.18 02:44:46 Tried adding: ⌫
2022.04.18 02:44:47 Tried adding: ⌫
2022.04.18 02:44:47 Tried adding: (
2022.04.18 02:44:48 Tried adding: -
2022.04.18 02:44:48 Tried adding: 1
2022.04.18 02:44:48 Tried adding: =
2022.04.18 02:44:48 Calculating: -1+(-1)
2022.04.18 02:44:48 Result: -2
2022.04.18 02:45:06 Allocated Ram: 14MiB
2022.04.18 02:45:06 Total memory obtained from OS: 29MiB
2022.04.18 02:45:06 Total garbage collected memory: 516MiB
2022.04.18 02:45:06 Closing program...
2022.04.18 02:47:36 Started program
2022.04.18 02:47:36 Loaded config
2022.04.18 02:47:39 Tried adding: 1
2022.04.18 02:47:40 Tried adding: -
2022.04.18 02:47:55 Tried adding: ⌫
2022.04.18 02:47:55 Tried adding: ⌫
2022.04.18 02:47:56 Tried adding: ⌫
2022.04.18 02:47:56 Tried adding: ⌫
2022.04.18 02:47:56 Tried adding: ⌫
2022.04.18 02:48:06 Tried adding: 1
2022.04.18 02:48:07 Tried adding: ⌫
2022.04.18 02:48:08 Tried adding: 1
2022.04.18 02:48:08 Tried adding: +
2022.04.18 02:48:08 Tried adding: 1
2022.04.18 02:48:09 Tried adding: ⌫
2022.04.18 02:48:09 Tried adding: ⌫
2022.04.18 02:48:09 Tried adding: ⌫
2022.04.18 02:48:09 Tried adding: 1
2022.04.18 02:48:10 Tried adding: +
2022.04.18 02:48:10 Tried adding: 2
2022.04.18 02:48:10 Tried adding: ⌫
2022.04.18 02:48:11 Tried adding: ⌫
2022.04.18 02:48:11 Tried adding: ⌫
2022.04.18 02:48:13 Tried adding: 1
2022.04.18 02:48:14 Tried adding: -
2022.04.18 02:48:24 Allocated Ram: 10MiB
2022.04.18 02:48:24 Total memory obtained from OS: 25MiB
2022.04.18 02:48:24 Total garbage collected memory: 252MiB
2022.04.18 02:48:24 Closing program...
2022.04.18 02:49:07 Started program
2022.04.18 02:49:07 Loaded config
2022.04.18 02:49:11 Tried adding: 1
2022.04.18 02:49:11 Tried adding: -
2022.04.18 02:49:12 Tried adding: -
2022.04.18 02:49:14 Tried adding: -
2022.04.18 02:49:14 Tried adding: -
2022.04.18 02:49:14 Tried adding: -
2022.04.18 02:49:15 Tried adding: -
2022.04.18 02:49:15 Tried adding: 1
